title,sub_title,author,date,section,text,url
"VÍDEO – “Estarei nas ruas com a militância do PSOL defendendo Lula Livre”, diz presidente do partido",,Pedro Zambarda de Araujo,05/04/2019 22:44:19,politica,Não ficaremos calados diante da injustiça. Lula foi preso sem provas para alterar o resultado da eleição presidencial. A vitória de Bolsonaro é  produto direto dessa manobra. Por isso neste domingo estarei nas ruas com a militância do PSOL defendendo  .  — Juliano Medeiros (@julianopsol50) ,https://www.diariodocentrodomundo.com.br/video-estarei-nas-ruas-com-a-militancia-do-psol-defendendo-lula-livre-diz-presidente-do-partido/
"“Canalha”, “covarde”, “contrabandista”: a reputação de Bolsonaro nos relatórios do Exército. Por Vinícius Segalla",,Diario do Centro do Mundo,05/04/2019 18:31:00,politica,"Um dossiê formulado pelo Estado-Maior das Forças Armadas concluído em 27 de julho de 1990, ao qual a reportagem teve acesso, detalha informações nada abonadoras reunidas pelo alto-comando do Exército desde o julgamento que arrancou Bolsonaro do anonimato, nos anos 80, até o início da sua vida parlamentar, na década seguinte. Na peça investigatória, há dezenas de anotações feitas pelos oficiais com relatos da jornalista Cássia Maria Rodrigues, então trabalhando na revista Veja, que disse ter sido   Jair Bolsonaro, conforme já informado pelo DCM. Para além do que denunciava a repórter, chama a atenção uma carta sem assinatura recheada de denúncias e comentários ofensivos contra Bolsonaro. A investigação não descobriu quem era o autor, mas constatou ser de um colega de farda do agora presidenciável. As autoridades militares que fizeram o relatório trataram de investigar as informações da carta apócrifa. Segundo informam, constataram a veracidade de uma parte do que consta ali. De outra, disseram não ter sido capazes de produzir provas. O documento repercutiu dentro e fora da caserna, como mostra reportagem do jornal carioca “Tribuna da Imprensa” do dia 22 de abril de 1991. Segundo consta no dossiê, uma cópia do relatório e da carta foi distribuída aos alunos e professores da ESEME (Escola de Comando e Estado-Maior do Exército). O texto critica as intenções do capitão e faz acusações. Em um dos trechos da carta incluída nos documentos, lê-se, em mensagem a Jair Bolsonaro: “Ao invés de fazer croqui de bombas, escreva quantas vezes você foi ao Paraguai trazer muamba. Conte sobre os seus problemas no Mato Grosso. Verifique qual é o seu conceito na Brigada Paraquedista”, diz a missiva, em parte referindo-se ao episódio narrado pelo próprio Bolsonaro à Veja, de que preparava atentados à bomba para promover sua campanha por aumentos de salários. A conclusão do relatório aponta que Bolsonaro passou a atuar na esfera dos militares sem “representatividade” ou “delegação” para tanto, questionando e acusando autoridades “de forma descabida” e contrariando as regras de hierarquia e ordem das Forças Armadas. Também há menções ofensivas a Rogéria Nantes Braga, então esposa de Bolsonaro. O militar autor da carta fazia acusações de cunho pessoal a Rogéria, que a reportagem preferiu não expor por não trazer conteúdo de interesse público. Mas não fizeram assim os colegas e comandantes de Bolsonaro que pregaram a carta na parede do quartel. Rogéria é mãe dos três filhos mais velhos do capitão reformado e foi eleita vereadora do Rio sob influência do marido em 1992. Depois, se separaram, e Bolsonaro disse que foi porque ela não o estava mais consultando antes de decidir seus votos e outras ações na Câmara Municipal do Rio de Janeiro. De qualquer forma, a insistência de Bolsonaro em fazer campanha dentro dos quartéis e os comentários que fazia na tribuna irritavam o oficialato. Em uma outra carta revelada pela imprensa em maio de 91, o então chefe do Estado Maior das Forças Armadas, general Jonas de Morais Correia Neto, o chama de “embusteiro, intrigante e covarde”, acusando-o de “inventar e deturpar visando aos interesses pessoais e da política”, como mostra reportagem abaixo, de 16 de abril de 1991. Em outubro daquele mesmo ano, quando Bolsonaro já era deputado federal então pelo PDC-RJ (Partido Democrata Cristão), suas frequentes visitas ao antigo emprego, para fazer propaganda política e angariar votos, contrariaram de tal maneira seus ex-comandantes que estes proibiram a entrada de jair Bolsonaro nos quartéis do Rio de Janeiro. É que, de acordo com o Comando de Operacões Terrestres (Coter) do Exército Brasileiro, Jair Bolsonaro estava insuflando a revolta na tropa. O general Alberto dos Santos Lima Fajardo, então comandante do Coter, explicou a punição em entrevistas à imprensa. Disse que Jair Bolsonaro estava “insuflando oficiais superiores e sargentos com panfletos criticando exaustivamente comando da tropa”. Ao ficar sabendo da punição, Bolsonaro disse que estava sendo perseguido pelo generalato que ocupava o Comando Leste (divisão administrativa do Exército Brasileiro em que está o Rio de Janeiro). Alertou seus colegas deputados para o risco que aquele tipo de arbitrariedade cometida pelo Comando Terrestre representava para a Câmara. Disse que o general Fajardo estava “agindo irresponsavelmente” e que era questão de tempo para que outros congressistas passassem a receber este tipo de tratamento persecutório que os comandantes do Exército lhe conferiam. A punição a Bolsonaro durou mais um ano. Nunca mais até hoje o Exército proferiu uma ordem como essa contra qualquer outro parlamentar brasileiro.  ",https://www.diariodocentrodomundo.com.br/canalha-covarde-contrabandista-a-reputacao-de-bolsonaro-nos-relatorios-do-exercito-por-vinicius-segalla/
Essencial do DCM – Mídia internacional escancara como Bolsonaro bajula e “adula” o presidente dos EUA,,Pedro Zambarda de Araujo,19/03/2019 21:11:19,midia,,https://www.diariodocentrodomundo.com.br/essencial-do-dcm-midia-internacional-escancara-como-bolsonaro-bajula-e-adula-o-presidente-dos-eua/
Essencial do DCM – Mídia internacional fala sobre o inferno da “Bolsomonarquia”,,Pedro Zambarda de Araujo,22/03/2019 20:52:28,midia,,https://www.diariodocentrodomundo.com.br/essencial-do-dcm-midia-internacional-fala-sobre-o-inferno-da-bolsomonarquia/
Júri nos EUA considera que o herbicida mais usado no Brasil causa câncer,,Diario do Centro do Mundo,20/03/2019 18:21:36,economia,"Por unanimidade, um júri dos Estados Unidos considerou que o herbicida à base de glifosato da empresa Bayer, o Roundup, foi o causador do linfoma não-Hodgkin no cidadão californiano Edwin Hardeman. O julgamento ocorreu nesta terça-feira (19) na corte federal de São Francisco. A decisão abre caminho para que o tribunal determine se a Monsanto, unidade da Bayer, terá que pagar uma indenização a Hardeman pelo dano causado. Segundo a advogada e integrante da organização Terra de Direitos, Nayara Bittencourt, embora o Brasil tenha soberania para tomar decisões no campo jurídico, a sentença da corte de São Francisco deveria acender um sinal de alerta nas autoridades brasileiras sobre os riscos da ampla utilização desse produto na agricultura. “Eu acredito que, tendo esse precedente no panorama internacional, especialmente nos Estados Unidos, que é um país onde também tem um agronegócio muito forte e tem um alto índice do glifosato, do Roundup, desses produtos altamente tóxicos, significa que o Judiciário brasileiro, especialmente as autoridades brasileiras que estão no momento de avanço da flexibilização de agrotóxicos, de ingredientes ativos, vão ter que de alguma forma olhar para esse tipo de decisão e considerar nas análises internas”, afirma. Bittencourt acrescenta que o governo de Jair Bolsonaro tem tratado de flexibilizar os mecanismos de controle do uso de agrotóxicos no Brasil. Segundo ela, somente este ano, mais de 80 novos produtos adquiriram autorização de uso no país. O quadro pode piorar se for aprovado o chamado  , uma série de medidas legais que tramitam no Congresso Nacional com o objetivo de facilitar o registro de novos químicos para o uso agrícola no Brasil. “Com certeza, ficou muito mais fácil de se aprovar tanto ingredientes ativos como os próprios produtos finais no Brasil. Isso pode piorar com o ‘pacote do veneno’, esse projeto que está em trâmite na Câmara dos Deputados. Porque vai ser legalizado, por exemplo, a autorização para registros temporários, vai ser criada quase uma indústria de registros temporários de agrotóxicos, porque o Estado não vai dar conta de cumprir os prazos que o poder legislativo estabelecerá para a autorização do registro de agrotóxicos”, lembra. O Roundup é um herbicida à base de glifosato utilizado no combate de pragas na agricultura. Em 2017, o governo da França anunciou que o produto seria banido do país em um prazo de três anos, em resposta aos danos à saúde das populações e ao meio ambiente. Enquanto isso, no Brasil, o glifosato é o herbicida de uso mais utilizado na agricultura. Telma Nery, médica sanitarista e pesquisadora do tema, afirma que o próprio Ministério da Saúde já publicou pesquisa relacionando o uso do glifosato com intoxicações agudas provocadas em seres humanos: “O próprio Ministério da Saúde publicou em dezembro de 2018 uma análise sobre o uso do glifosato no Brasil nos últimos seis anos e correlacionando com as intoxicações agudas. Foi a primeira vez que um órgão federal fez isso, além das instituições ligadas a movimentos sociais que identificaram não só as intoxicações agudas, mas doenças hepáticas, câncer, enfim”. Nos Estados Unidos, mais de 11 mil processos estão relacionados ao uso do glifosato. A Bayer se pronunciou sobre o resultado do julgamento por meio de nota, afirmando que a decisão do júri “é decepcionante”, de acordo com os interesses da empresa. “Estamos confiantes de que as evidências na fase dois mostrarão que a conduta da Monsanto foi apropriada e que a empresa não deve ser responsabilizada pelo câncer do Sr. Hardeman”, disse o comunicado. A empresa argumenta que realizou estudos e avaliações regulatórias que afirmam a segurança do produto para uso humano.",https://www.diariodocentrodomundo.com.br/juri-nos-eua-considera-que-o-herbicida-mais-usado-no-brasil-causa-cancer/
DCM Ao Meio Dia – Quem está pagando a produtora bolsonarista do filme pró-golpe de 64?,,Pedro Zambarda de Araujo,02/04/2019 12:08:20,midia,,https://www.diariodocentrodomundo.com.br/dcm-ao-meio-dia-quem-esta-pagando-a-produtora-bolsonarista-do-filme-pro-golpe-de-64/
"Reforma da Previdência não pode ser feita aumentando a desigualdade, alertam economistas",,Diario do Centro do Mundo,25/03/2019 20:12:23,economia,"O Conselho Federal de Economia (Cofecon) divulgou nota criticando o projeto de “reforma” da Previdência do governo Bolsonaro. Baseada numa ideia “contracionista”, que acredita que o corte de gastos do governo pode estimular o crescimento 
– descreditada entre os economistas internacionais –, a proposta tende a não funcionar, segundo o conselho, que refuta a tese de um desastre iminente caso o sistema de aposentadorias não seja mexido. “Mesmo que funcione, crescer concentrando renda melhoraria a qualidade de vida de poucos, não sendo o que o economista deve buscar.” Eles dizem ser “inaceitável” que o governo utilize a previsão do montante economizado como justificativa. “A Previdência precisa ser sustentável e compatível com o crescimento econômico inclusivo do país (…). Não existem riscos iminentes de dificuldades financeiras do setor público que não possam ser minimizados com a retomada mais robusta da atividade econômica e uma adequada reforma tributária.” Os economistas afirmam que a proposta do governo mantém privilégios injustificáveis, como a manutenção da integralidade e paridade das aposentadorias para os militares, dizem que o governo deve recompor a sua participação no financiamento da Previdência Social, desfalcado mediante a retirada de recursos, particularmente em função da chamada Desvinculação das Receitas da União (DRU), e destacam que o orçamento da Seguridade Social, onde está incluída a previdência, não é deficitário, conforme argumento utilizado pelo governo para “impressionar a opinião pública”. “Esses efeitos também não devem ser compensados por medidas que aumentem as desigualdades, tais como elevações intempestivas de idades e tempos de contribuição mínimos e reduções nos valores das aposentadorias por invalidez, pensões por morte, benefícios previdenciários acumulados – quando incidentes sobre os estratos de menores rendas – e benefícios de prestação continuada.” A retirada da obrigatoriedade de recolhimento de FGTS e de pagamento de multa de 40% do FGTS, em demissões sem justa causa para trabalhadores já aposentados são outras medidas que, segundo os economistas, contribuem para o aumento das desigualdades. Já a proposta de capitalização da Previdência, com a criação de contas individuais para a contribuição previdenciária, resultaria no “empobrecimento em massa” da população. A medida estabelece piso de um salário mínimo, que seria garantido por um “fundo solidário”, mas impede a transferência de recursos públicos. Logo, o fundo seria alimentado com recursos dos próprios contribuintes, mas não apenas os de maiores salários. Eles citam estudo da Organização Internacional do Trabalho (OIT) que constatou o fracasso do sistema de capitalização na maioria dos países adotados, inclusive o Chile, que aparece como referência. “A melhor solução é manter o atual sistema, com modelo de repartição simples obrigatório até o teto e modelo de capitalização facultativo complementar. Para os servidores públicos com aposentadoria acima do teto, sem consistência atuarial, apoiamos elevações de contribuições e do tempo para acesso.”",https://www.diariodocentrodomundo.com.br/reforma-da-previdencia-nao-pode-ser-feita-aumentando-a-desigualdade-alertam-economistas/
Essencial do DCM – Mercado cai na real e descobre que apostou num incompetente: Bolsonaro,,Pedro Zambarda de Araujo,27/03/2019 21:07:48,economia,,https://www.diariodocentrodomundo.com.br/essencial-do-dcm-mercado-cai-na-real-e-descobre-que-apostou-num-incompetente-bolsonaro/
"VÍDEO: “Brasil se prepara para tornar metade de seus trabalhadores mais pobres”, diz jornalista do Valor",,Pedro Zambarda de Araujo,23/03/2019 17:02:11,economia,,https://www.diariodocentrodomundo.com.br/video-brasil-se-prepara-para-tornar-metade-de-seus-trabalhadores-mais-pobres-diz-jornalista-do-valor/
Essencial do DCM – Bolsonaro diz que não nasceu para ser presidente: por que não pede pra sair?,,Pedro Zambarda de Araujo,05/04/2019 21:00:02,politica,,https://www.diariodocentrodomundo.com.br/essencial-do-dcm-bolsonaro-diz-que-nao-nasceu-para-ser-presidente-por-que-nao-pede-pra-sair/
